FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Cosmos ETP (ATOM);ATOM;ATOM.S ;ATOM SE ;114593099;CH1145930991;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;4.3445;-2.19;-0.0975;N/A;0;;0;;;4.442;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Cosmos ETP (ATOM);ATOM;ATOM.S ;ATOM SE ;114593099;CH1145930991;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;4.609;-2.06;-0.097;N/A;0;;0;;;4.706;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Crypto Basket 10 ETP;HODLX;HODLX.S;HODLX SE;113520217;CH1135202179;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;6.773;-1.84;-0.127;Vinter;1500;5.9;200;16;92.2374;6.9;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket 10 ETP;HODLX;HODLX.S;HODLX SE;113520217;CH1135202179;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;5.983;-1.92;-0.117;Vinter;0;;0;;;6.1;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket 10 ETP;HODLX;HODLX.S;HODLX SE;113520217;CH1135202179;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;7.271;-2.07;-0.154;Vinter;0;;0;;;7.425;20221219;192200;;;;0;0;458.36;426.87;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Equal Weight ETP;HODLV;HODLV.S;HODLV SE;113520216;CH1135202161;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;6.555;-3.39;-0.23;Vinter;0;;0;;;6.785;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Equal Weight ETP;HODLV;HODLV.S;HODLV SE;113520216;CH1135202161;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;5.786;-3.32;-0.199;Vinter;0;;0;;;5.985;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Equal Weight ETP;HODLV;HODLV.S;HODLV SE;113520216;CH1135202161;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;7.037;-3.27;-0.238;Vinter;0;;0;;;7.275;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Index;HODL;HODL.S;HODL SE;44568920;CH0445689208;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;4.4535;-3.71;-0.1715;Vinter;200;4;500;25;144.8276;4.625;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Index;HODL;HODL.S;HODL SE;44568920;CH0445689208;21Shares AG;21Shares AG;EUR;USD;2.5;physical;passive;Flow Traders B.V.;4.4985;-3.05;-0.1415;Vinter;0;;190;8.42;;4.64;20221219;192200;4.4985;4.4985;4.4985;1850;0;8322.23;8235.68;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Index;HODL;HODL.S ;HODL SE;44568920;CH0445689208;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;3.9285;-2.82;-0.114;Vinter;0;;0;;;4.0425;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Index;HODL;HODL.S;HODL SE;44568920;CH0445689208;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;4.798;-2.97;-0.147;Vinter;1300;4.7;900;5.4;13.8614;4.945;20221219;192200;4.8035;4.8035;4.79;16525;0;88188.05;82129.53;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Layer 1 ETP (LAY1);LAY1;LAY1.S;LAY1 SE;118355992;CH1183559926;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;9.977;-1.92;-0.195;N/A;0;;0;;;10.172;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Crypto Layer 1 ETP (LAY1);LAY1;LAY1.S;LAY1 SE;118355992;CH1183559926;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;10.1;-2.72;-0.282;N/A;0;;0;;;10.382;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Crypto Layer 1 ETP (LAY1);LAY1;LAY1.S;LAY1 SE;118355992;CH1183559926;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;10.714;-2.64;-0.29;N/A;0;;0;;;11.004;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Crypto Mid-Cap Index ETP (ALTS);ALTS;ALTS.S;ALTS SE;113067567;CH1130675676;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;4.938;-3.55;-0.182;Vinter;0;;0;;;5.12;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
