FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Crypto Basket Equal Weight ETP;HODLV;HODLV.S;HODLV SE;113520216;CH1135202161;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;6.785;-5.18;-0.371;Vinter;0;;0;;;7.156;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Equal Weight ETP;HODLV;HODLV.S;HODLV SE;113520216;CH1135202161;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;5.985;-5.03;-0.317;Vinter;0;;0;;;6.302;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Equal Weight ETP;HODLV;HODLV.S;HODLV SE;113520216;CH1135202161;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;7.275;-5.8;-0.448;Vinter;0;;0;;;7.723;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Index;HODL;HODL.S;HODL SE;44568920;CH0445689208;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;4.625;-2.84;-0.135;Vinter;200;4;500;25;144.8276;4.76;20221216;;4.597;4.597;4.597;784;0;3622.64;3622.64;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Index;HODL;HODL.S;HODL SE;44568920;CH0445689208;21Shares AG;21Shares AG;EUR;USD;2.5;physical;passive;Flow Traders B.V.;4.64;-2.63;-0.1255;Vinter;0;;190;8.42;;4.7655;20221216;;4.6385;4.6385;4.6385;2100;0;9742.95;9621.16;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Index;HODL;HODL.S ;HODL SE;44568920;CH0445689208;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;4.0425;-3.53;-0.148;Vinter;0;;0;;;4.1905;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Basket Index;HODL;HODL.S;HODL SE;44568920;CH0445689208;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;4.945;-3.12;-0.159;Vinter;10800;4.86;900;5.4;10.5263;5.104;20221216;;5.129;5.129;4.928;3187;0;123457.98;114482.58;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Layer 1 ETP (LAY1);LAY1;LAY1.S;LAY1 SE;118355992;CH1183559926;21Shares AG;21Shares AG;CHF;USD;2.5;Physical;passive;Flow Traders B.V.;10.172;-6.7;-0.73;N/A;0;;0;;;10.902;20221216;;10.172;10.172;10.172;1250;0;12715;12715;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Crypto Layer 1 ETP (LAY1);LAY1;LAY1.S;LAY1 SE;118355992;CH1183559926;21Shares AG;21Shares AG;EUR;USD;2.5;Physical;passive;Flow Traders B.V.;10.382;-5.77;-0.636;N/A;0;;0;;;11.018;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
21Shares Crypto Layer 1 ETP (LAY1);LAY1;LAY1.S;LAY1 SE;118355992;CH1183559926;21Shares AG;21Shares AG;USD;USD;2.5;Physical;passive;Flow Traders B.V.;11.004;-6.24;-0.732;N/A;0;;0;;;11.736;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;21Shares AG 
